sample_id,task,comparable_needle_count,near_hit_rate,exact_hit_rate,min_distance,max_log10_ratio,max_ratio,last_q_abs_pos,last_q_log10_ratio,last_q_mean_ratio
rank7|global_req1263|task=niah_single_1|doc=263,niah_single_1,1,0.6294642857142857,0.15625,0,3.071479082107544,1178.90573961333,32480,-0.7772448062896729,0.11215442419052124
rank7|global_req1271|task=niah_single_1|doc=271,niah_single_1,1,0.42857142857142855,0.3125,0,3.2524304389953613,1788.2590804745578,32483,-0.827430009841919,0.10302826017141342
rank7|global_req1279|task=niah_single_1|doc=279,niah_single_1,1,0.8794642857142857,0.03571428571428571,0,4.078413963317871,11978.817911757378,32480,-0.7305160164833069,0.09899728000164032
rank7|global_req127|task=niah_single_3|doc=127,niah_single_3,1,0.5580357142857143,0.28125,0,4.02381706237793,10563.724403091004,32534,-0.5131223201751709,0.14003917574882507
rank7|global_req1287|task=niah_single_1|doc=287,niah_single_1,1,0.9330357142857143,0.8348214285714286,0,3.426140546798706,2667.7218555580175,32480,-0.8360009789466858,0.09014004468917847
rank7|global_req1295|task=niah_single_1|doc=295,niah_single_1,1,0.6294642857142857,0.5133928571428571,0,4.501389503479004,31724.114119916674,32477,-0.7326192855834961,0.08969652652740479
rank7|global_req1303|task=niah_single_1|doc=303,niah_single_1,1,0.7053571428571429,0.6160714285714286,0,3.4738833904266357,2977.7167948034867,32474,-0.9050517678260803,0.08678889274597168
rank7|global_req1311|task=niah_single_1|doc=311,niah_single_1,1,0.90625,0.8616071428571429,0,4.638002395629883,43451.262099812986,32474,-0.7525153756141663,0.09429009258747101
rank7|global_req1319|task=niah_single_1|doc=319,niah_single_1,1,0.7857142857142857,0.25892857142857145,0,2.979033946990967,952.8706430425526,32483,-0.8054331541061401,0.0998833104968071
rank7|global_req1327|task=niah_single_1|doc=327,niah_single_1,1,0.8258928571428571,0.6696428571428571,0,4.664134502410889,46146.04682369642,32477,-0.906174898147583,0.08551329374313354
